wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
501,2.42609e-24,0.149056,6.57648e-05,0.00355569,1,60.4703,109.199
502,5.81111e-24,0.169581,4.08795e-05,0.00404368,1,61.082,109.044
503,1.3821e-23,0.19206,2.51213e-05,0.00457869,1,61.6962,108.888
504,3.26399e-23,0.216538,1.52617e-05,0.0051616,1,62.3128,108.733
505,7.65398e-23,0.243032,9.16615e-06,0.00579276,1,62.932,108.578
506,1.78219e-22,0.271536,5.44248e-06,0.00647194,1,63.5535,108.423
507,4.12048e-22,0.302013,3.1947e-06,0.0071982,1,64.1775,108.268
508,9.45954e-22,0.334394,1.85391e-06,0.00796988,1,64.8038,108.112
509,2.15636e-21,0.368574,1.06358e-06,0.00878448,1,65.4325,107.957
510,4.88091e-21,0.404413,6.03223e-07,0.00963863,1,66.0635,107.802
511,1.097e-20,0.441732,3.38228e-07,0.0105281,1,66.6968,107.501
512,2.44818e-20,0.480317,1.87484e-07,0.0114477,1,67.3324,107.2
513,5.42511e-20,0.519913,1.02741e-07,0.0123914,1,67.9702,106.898
514,1.19372e-19,0.560232,5.56608e-08,0.0133523,1,68.6102,106.597
515,2.60809e-19,0.600951,2.98111e-08,0.0143228,1,69.2525,106.296
516,5.6581e-19,0.641718,1.57845e-08,0.0152944,1,69.8969,105.995
517,1.21885e-18,0.682156,8.26245e-09,0.0162582,1,70.5435,105.694
518,2.60708e-18,0.721866,4.27574e-09,0.0172047,1,71.1922,105.392
519,5.53718e-18,0.760439,2.18745e-09,0.018124,1,71.843,105.091
520,1.16775e-17,0.797455,1.10634e-09,0.0190062,1,72.4959,104.79
521,2.44535e-17,0.832496,5.53176e-10,0.0198414,1,73.1508,105.08
522,5.08465e-17,0.865151,2.7344e-10,0.0206196,1,73.8077,105.37
523,1.0498e-16,0.895027,1.33625e-10,0.0213317,1,74.4666,105.659
524,2.15221e-16,0.921752,6.45558e-11,0.0219687,1,75.1275,105.949
525,4.38115e-16,0.944989,3.08324e-11,0.0225225,1,75.7903,106.239
526,8.85565e-16,0.964435,1.45581e-11,0.0229859,1,76.4551,106.529
527,1.77738e-15,0.979836,6.79557e-12,0.023353,1,77.1217,106.819
